filename,# Annual demand (TWh),Annual Energy Losses (TWh),PV Capacity (GW),PV Avg Annual Gen (GWh),Wind Capacity (GW),Wind Avg Annual Gen (GWh),Hydro Capacity (GW),Hydro Avg Annual Gen (GWh),Fossil Capacity (GW),Fossil Generation (GWh),Inter Capacity (GW),Inter Generation (GWh),PHES-PowerCap (GW),PHES-EnergyCap (GWh),CapDCO,CapDCS,CapAC,LCOE,LCOG,LCOB,LCOG_PV,LCOG_Wind,LCOG_Hydro,LCOG_Inter,LCOGFossil,LCOBS_PHES,LCOBT,LCOB_LossesSpillage
GGTA_KH_3_2000_2.csv,69,0,53.0,77.8,2.7,9.8,1.4,1.5,0.6,0.3,0,0,19.3,367.0,0,0,1.1,78.1,38.9,39.2,40.5,22.9,50,0,100,26.7,1.0,11.5
GGTA_LA_3_500_2.csv,30,0,1.5,2.2,5.0,18.2,4.3,15.2,1.88,0.0,0,0,1.1,11.1,0,0,1.0,47.0,35.6,11.4,42.4,22.8,50,0,100,2.6,2.2,6.7
GGTA_TH_3_500_2.csv,208,0,27.4,37.2,42.1,158.2,3.9,19.5,34.2,48.0,0,0,13.9,143.1,0,0,8.7,60.0,41.5,18.4,43.9,22.2,50,0,100,4.8,2.7,11.0
GGTA_VH_3_2000_2.csv,173,0,0.0,0.0,42.2,158.4,10.4,48.1,11.4,20.6,0,0,6.5,53.7,0,0,8.4,51.8,35.2,16.6,56.0,22.2,50,0,100,2.5,3.2,11.0
GGTA_VS_3_2000_2.csv,173,0,19.1,26.0,35.5,135.1,10.4,31.9,11.4,21.8,0,0,12.7,128.2,0,0,7.3,53.4,36.6,16.8,43.8,21.9,50,0,100,5.2,2.7,8.9
Sum of the parts,653.0,,101.1,143.1,127.5,479.8,30.2,116.3,59.4,90.7,,,53.5,703.1,,,,,,,,,,,,41.6,11.8,49.0
GGTA_Super13_3_2000_2.csv,653,4.060,976.8,1295.9,226.3,846.0,30.2,84.9,59.4,20.9,0,0,26.2,0.755,66.8,0,55.0,140.8,37.1,103.8,44.9,22.3,50,0,100,1.7,10.7,91.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GGTA_Super13_3_2000_2 w reliability constraint relaxed,653,3.538,962.7,1260.0,163.2,606.8,30.2,104.2,59.4,35.6,0,0,22.9,1.478,52.6,0,42.3,132.6,39.7,92.9,45.5,22.4,50,0,100,1.5,8.4,83.0
W no coal (still gas),653,4.206,1011.7,1332.2,305.1,1137.1,30.2,69.1,37.7,13.2,0,0,63.1,5.014,65.6,0,71.1,155.8,35.4,120.3,45.2,22.4,50,0,100,4.2,12.2,103.9
